FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_158	7346.5	7346.5	47	10	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_159	6340	6340	36	16	14
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_160	9268	9268	32	2	2
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_161	7688	7688	24	8	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_162	2571.5	2571.5	14	1	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_163	7605.5	7605.5	42	12	11
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_164	7140.5	7140.5	43	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_165	7385	7385	51	10	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_166	8368.5	8368.5	70	13	13
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_167	9079.5	9079.5	64	17	17
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_168	8188	8188	3	0	0
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_169	2729	2729	11	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_170	3804	3804	17	5	5
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_171	2250	2250	10	2	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_172	1198.5	1198.5	5	1	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_173	6649.5	6649.5	58	12	12
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_174	4079	4079	31	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_175	22220.5	22220.5	12	1	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_176	6869.5	6869.5	26	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_177	3676	3676	10	2	2
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_178	13362	13362	52	5	4
